Date,delay
2013-03-01,2.497079948983017
2012-12-01,2.471206523123965
2012-10-08,2.4481342832991184
2013-02-19,2.4348808902799512
2013-01-10,2.401866977829638
2012-09-19,2.328232857800276
2012-06-19,2.316628827731325
2013-03-19,2.303223676972164
2012-11-14,2.156632741072969
2012-06-18,2.128787878787879
2013-01-20,2.1127552530334417
2013-03-06,2.0943302933743544
2013-02-23,2.09102083461373
2012-06-27,1.9973474801061009
2012-04-26,1.9736286317712197
2012-06-15,1.9403766358123204
2012-04-22,1.939715498451302
2012-10-06,1.9346456692913385
2012-11-24,1.9184755031854315
2012-04-01,1.8910119494313917
2013-03-20,1.8907432251140328
2012-06-07,1.816309628975265
2012-09-20,1.6814037502150352
2012-07-01,1.6727071436895466
2013-03-14,1.6425468004076598
2012-05-14,1.581235424265981
